Ref,Val,Package,PosX,PosY,Rot,Side
"D8","D_Small","D_SOD-123",184.943750,23.018750,90.000000,bottom
"D9","D_Small","D_SOD-123",165.893750,23.018750,90.000000,bottom
"D10","D_Small","D_SOD-123",146.843750,23.018750,90.000000,bottom
"D11","D_Small","D_SOD-123",127.793750,23.018750,90.000000,bottom
"D12","D_Small","D_SOD-123",108.743750,23.018750,90.000000,bottom
"D13","D_Small","D_SOD-123",89.693750,23.018750,90.000000,bottom
"D14","D_Small","D_SOD-123",70.643750,23.018750,90.000000,bottom
"D15","D_Small","D_SOD-123",51.593750,23.018750,90.000000,bottom
"D16","D_Small","D_SOD-123",32.543750,23.018750,90.000000,bottom
"D17","D_Small","D_SOD-123",13.493750,23.018750,90.000000,bottom
"D18","D_Small","D_SOD-123",-12.700000,23.018750,90.000000,bottom
"D19","D_Small","D_SOD-123",201.612500,3.968750,90.000000,bottom
"D20","D_Small","D_SOD-123",180.181250,3.968750,90.000000,bottom
"D21","D_Small","D_SOD-123",161.131250,3.968750,90.000000,bottom
"D22","D_Small","D_SOD-123",142.081250,3.968750,90.000000,bottom
"D23","D_Small","D_SOD-123",123.031250,3.968750,90.000000,bottom
"D24","D_Small","D_SOD-123",103.981250,3.968750,90.000000,bottom
"D25","D_Small","D_SOD-123",84.931250,3.968750,90.000000,bottom
"D26","D_Small","D_SOD-123",65.881250,3.968750,90.000000,bottom
"D27","D_Small","D_SOD-123",46.831250,3.968750,90.000000,bottom
"D28","D_Small","D_SOD-123",27.781250,3.968750,90.000000,bottom
"D29","D_Small","D_SOD-123",22.225000,7.937500,90.000000,bottom
"D30","D_Small","D_SOD-123",-15.081250,3.968750,90.000000,bottom
"D31","D_Small","D_SOD-123",196.850000,-15.081250,90.000000,bottom
"D32","D_Small","D_SOD-123",170.656250,-15.081250,90.000000,bottom
"D33","D_Small","D_SOD-123",151.606250,-15.081250,90.000000,bottom
"D34","D_Small","D_SOD-123",132.556250,-15.081250,90.000000,bottom
"D35","D_Small","D_SOD-123",113.506250,-15.081250,90.000000,bottom
"D36","D_Small","D_SOD-123",94.456250,-15.081250,90.000000,bottom
"D37","D_Small","D_SOD-123",75.406250,-15.081250,90.000000,bottom
"D38","D_Small","D_SOD-123",56.356250,-15.081250,90.000000,bottom
"D39","D_Small","D_SOD-123",37.306250,-15.081250,90.000000,bottom
"D40","D_Small","D_SOD-123",18.256250,-15.081250,90.000000,bottom
"D41","D_Small","D_SOD-123",-0.793750,-15.081250,90.000000,bottom
"D42","D_Small","D_SOD-123",-19.843750,-15.081250,90.000000,bottom
"D43","D_Small","D_SOD-123",195.262500,-30.162500,-90.000000,bottom
"D44","D_Small","D_SOD-123",191.293750,-30.162500,-90.000000,bottom
"D45","D_Small","D_SOD-123",165.893750,-30.162500,-90.000000,bottom
"D46","D_Small","D_SOD-123",162.321875,-30.162500,-90.000000,bottom
"D47","D_Small","D_SOD-123",130.175000,-30.162500,-90.000000,bottom
"D48","D_Small","D_SOD-123",68.262500,-30.162500,-90.000000,bottom
"D49","D_Small","D_SOD-123",58.737500,-30.162500,-90.000000,bottom
"D50","D_Small","D_SOD-123",11.906250,-30.162500,-90.000000,bottom
"D51","D_Small","D_SOD-123",5.556250,-30.162500,-90.000000,bottom
"D52","D_Small","D_SOD-123",-19.843750,-30.162500,-90.000000,bottom
"D56","WS2812B","LED_WS2812B_2020",76.200000,-23.812500,0.000000,bottom
"D57","WS2812B","LED_WS2812B_2020",36.512500,-23.812500,0.000000,bottom
"D58","WS2812B","LED_WS2812B_2020",0.000000,-23.812500,0.000000,bottom
"D59","WS2812B","LED_WS2812B_2020",0.000000,14.287500,180.000000,bottom
"D60","WS2812B","LED_WS2812B_2020",38.100000,14.287500,180.000000,bottom
"D61","WS2812B","LED_WS2812B_2020",76.200000,14.287500,180.000000,bottom
"D62","WS2812B","LED_WS2812B_2020",114.300000,14.287500,180.000000,bottom
"D63","WS2812B","LED_WS2812B_2020",152.400000,14.287500,180.000000,bottom
"D64","WS2812B","LED_WS2812B_2020",115.887500,-23.415625,0.000000,bottom
"D65","WS2812B","LED_WS2812B_2020",152.400000,-23.812500,0.000000,bottom
"D66","WS2812B","LED_WS2812B_2020",190.500000,-23.812500,0.000000,bottom
"D67","WS2812B","LED_WS2812B_2020",190.500000,14.287500,180.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",10.714572,14.665665,90.000000,bottom
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",3.571875,32.146875,0.000000,bottom
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",188.182250,51.196875,0.000000,bottom
"J4","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",-21.900000,13.600000,180.000000,bottom
"J5","Conn_01x04_Female","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",20.240625,14.684375,90.000000,bottom
"J6","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",-21.900000,-19.875000,180.000000,bottom
"R1","5.1k","R_0603_1608Metric",6.746875,23.018750,90.000000,bottom
"R2","5.1k","R_0603_1608Metric",189.706250,43.656250,90.000000,bottom
"R3","5.1k","R_0603_1608Metric",0.396875,23.018750,90.000000,bottom
"R4","5.1k","R_0603_1608Metric",185.737500,43.656250,90.000000,bottom
"R5","5.1k","R_0402_1005Metric",4.220506,-5.237196,0.000000,bottom
"R6","27","R_0402_1005Metric",2.936875,9.200000,90.000000,bottom
"R7","27","R_0402_1005Metric",1.600000,9.200000,90.000000,bottom
"R9","470","R_0603_1608Metric",208.359375,49.212500,-90.000000,bottom
"R10","470","R_0603_1608Metric",208.359375,43.720500,-90.000000,bottom
"R11","470","R_0603_1608Metric",208.359375,38.100000,-90.000000,bottom
"R12","1k","R_0402_1005Metric",-3.501513,-5.400000,180.000000,bottom
"R13","-10k","R_0603_1608Metric",-15.913792,19.364382,-90.000000,bottom
"R14","1k","R_0402_1005Metric",-21.283750,18.443749,0.000000,bottom
"SW1","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",207.168750,23.812500,90.000000,bottom
"SW2","RotaryEncoder_Switch","RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm",197.643750,42.862500,-90.000000,bottom
"SWD1","Conn_01x03_Female","PinHeader_1x03_P2.54mm_Vertical",12.700000,-14.431250,0.000000,bottom
"SWR1","SW_SPST","SW_SPST_TL3342",-20.637500,-1.587500,90.000000,bottom
"SWR2","SW_SPST","SW_SPST_TL3342",-21.000000,24.000000,-90.000000,bottom
"U1","SRV05-4","SOT-23-6",3.571875,23.018750,180.000000,bottom
"U2","XC6206PxxxMR","SOT-23",-2.014171,18.036381,0.000000,bottom
"U3","RP2040TR7","QFN40P700X700X90-57N",0.000000,0.000000,180.000000,bottom
"U4","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-10.318750,16.668750,180.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-7.501513,-5.234901,90.000000,bottom
